image_id,split,label,category,source_url,brand,local_path,fixture_id,notes
strong_case_001,train,strong,phone_cases,https://www.facebook.com/ads/library/,Meta Ad Library,data/images/strong_case_001.jpg,strong_case_001,Meta ad screenshot with visible phone case product and promotional free delivery message
strong_case_002,train,strong,phone_cases,https://kapaver.com/,KAPAVER,data/images/strong_case_002.jpg,strong_case_002,Sale creative with multiple case products visible and clear discount message
strong_case_003,train,strong,phone_cases,https://www.casetify.com/,CASETiFY,data/images/strong_case_003.jpg,strong_case_003,Product in hand creative with charm-ready message and clear case accessory focus
strong_case_004,train,strong,phone_cases,https://www.otterbox.com/,OtterBox,data/images/strong_case_004.jpg,strong_case_004,Outdoor durability creative with phone case shown in rugged use context
strong_case_005,train,strong,phone_cases,https://www.facebook.com/ads/library/,Meta Ad Library,data/images/strong_case_005.jpg,strong_case_005,Meta ad screenshot with product hero and clear protection-focused copy
strong_case_006,train,strong,phone_cases,https://www.otterbox.com/,OtterBox,data/images/strong_case_006.jpg,strong_case_006,Lifestyle creative with phone case in hand and new phone new case message
strong_case_007,train,strong,phone_cases,https://www.facebook.com/ads/library/,Meta Ad Library,data/images/strong_case_007.jpg,strong_case_007,Meta ad screenshot with product lineup and event-themed visual context
strong_case_008,train,strong,phone_cases,https://www.casetify.com/,CASETiFY,data/images/strong_case_008.jpg,strong_case_008,Award-focused product creative with case and MagSafe accessory clearly visible
strong_case_009,train,strong,phone_cases,https://www.facebook.com/ads/library/,Meta Ad Library,data/images/strong_case_009.jpg,strong_case_009,Meta ad screenshot with bold product color and new product launch copy
strong_case_010,train,strong,phone_cases,https://www.facebook.com/ads/library/,Meta Ad Library,data/images/strong_case_010.jpg,strong_case_010,Meta ad screenshot with case color launch message and lifestyle styling
strong_case_011,train,strong,phone_cases,https://item.jd.com/,JD,data/images/strong_case_011.jpg,strong_case_011,JD product creative with mirror phone case feature and clean product presentation
strong_case_012,train,strong,phone_cases,https://www.facebook.com/ads/library/,Meta Ad Library,data/images/strong_case_012.jpg,strong_case_012,Meta ad screenshot with certification-style trust signal and product close-up
strong_case_013,train,strong,phone_cases,https://www.otterbox.com/,OtterBox,data/images/strong_case_013.jpg,strong_case_013,Hero banner with outdoor use context and iconic durability message
strong_case_014,train,strong,phone_cases,https://www.otterbox.com/,OtterBox,data/images/strong_case_014.jpg,strong_case_014,Adventure-themed creative with multiple cases and clear readiness message
